"Metric","Value"
"ME",0.0868340400897785
"RMSE",0.422423647028568
"MAE",0.327012066061316
"MPE",0.0640197641461634
"MAPE",0.243609640127822
"ACF1",0.659692530715549
"Theils_U",1.61153323672481
