"window_years","changepoint_scale","seasonality_mode","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1","Theils_U","n_missing"
15,0.1,"additive",0.0868340400897785,0.422423647028568,0.327012066061316,0.0640197641461634,0.243609640127822,1.17715409026171,0.659692530715549,1.61153323672481,0
8,0.05,"additive",0.0354120476007896,0.451663128894884,0.340298260671252,0.0254930808963414,0.254054911946482,1.22498076074966,0.49141574578119,1.72308096181936,0
8,0.1,"additive",-0.00665852138808253,0.48073052636593,0.344296994674659,-0.00538939741848862,0.257110875800965,1.23937511061165,0.478271237439312,1.83397219023232,0
12,0.1,"additive",0.0753378266775496,0.44583136584865,0.348240654547228,0.0554310458717022,0.259425495058208,1.2535712086502,0.60591406936385,1.70083296494746,0
15,0.1,"multiplicative",0.094196788064261,0.454584560146547,0.353083806677586,0.0694961571152208,0.263038165245288,1.27100523305388,0.636871342737783,1.73422613229923,0
8,0.05,"multiplicative",0.0326547081516381,0.479969598896905,0.354228476309155,0.0234295314171883,0.264591987394319,1.27512573097626,0.475444007478225,1.83106927531338,0
15,0.05,"additive",-0.0600314842153296,0.423235801544502,0.355313206929444,-0.0461233073596344,0.264443981277388,1.27903046483481,0.665263476136919,1.61463158125403,0
12,0.05,"additive",-0.0504448316805783,0.431967921901341,0.357864212455566,-0.0388927029242966,0.26636480765599,1.28821338773281,0.655191072199298,1.64794435216805,0
8,0.1,"multiplicative",-0.00747906390331133,0.49952565621796,0.357969840005324,-0.00602798752872552,0.267348349027892,1.28859361805195,0.472000008376214,1.90567503323878,0
12,0.1,"multiplicative",0.0784365066550736,0.463695538325097,0.36240351479004,0.0577558714584228,0.270024747921226,1.30455363589037,0.595155739860091,1.76898423416471,0
6,0.05,"additive",-0.011478881520901,0.484183455853317,0.369875022997758,-0.00849031166178794,0.276356267588314,1.33144902404248,0.207651508281338,1.84714501015406,0
15,0.2,"additive",0.104429344882039,0.459395099567562,0.376352504323955,0.0774333623993959,0.280726405632775,1.35476618701314,0.676104770509263,1.75257819241251,0
6,0.05,"multiplicative",-0.0139197151319763,0.494431525304877,0.376764420885052,-0.0103558068628896,0.281493465021406,1.35624897408758,0.203811362240036,1.88624108029508,0
15,0.05,"multiplicative",-0.0582443915802494,0.454140647343021,0.382507625780072,-0.0447190032713053,0.284790372866874,1.37692294252799,0.629530500711589,1.73253261859061,0
12,0.05,"multiplicative",-0.0545544287235129,0.462664979485762,0.382887038424801,-0.0419470206921649,0.285008224478944,1.37828872438436,0.624785961162869,1.76505268385101,0
8,0.2,"additive",-0.00361011331467177,0.536105527609142,0.391121079112692,-0.00260490612737907,0.291925268492179,1.40792902112287,0.442738471388326,2.0452261188768,0
6,0.1,"additive",-0.0242297982274458,0.553376694182366,0.39368989432439,-0.0178095682357918,0.294538159647901,1.41717605402291,0.175887552526623,2.11111508879017,0
15,0.3,"additive",0.109038664813739,0.476919525343576,0.395183915897417,0.0809582880497859,0.294857713473057,1.42255412348319,0.683067675302599,1.8194333384045,0
12,0.2,"additive",0.078432038518955,0.499549276848173,0.397893755910726,0.0579947129858625,0.296796021078666,1.43230880713765,0.661565788112735,1.90576514521743,0
15,0.2,"multiplicative",0.112266259113826,0.494828678449398,0.400574417289387,0.0832987611119457,0.298836579503283,1.44195845567969,0.665774930912062,1.88775620734103,0
8,0.2,"multiplicative",-0.00502947686458715,0.555208873954042,0.402742293355523,-0.00368124348252802,0.300671796168252,1.44976221720192,0.433266946182161,2.11810479833527,0
10,0.1,"multiplicative",0.0898522210711754,0.493562466485736,0.408204036492683,0.0666669485099725,0.304152706320335,1.46942300021615,0.551322602359222,1.8829256475972,0
12,0.2,"multiplicative",0.0782065272348799,0.519678081928661,0.408418959194462,0.0578000897940921,0.304637248282559,1.4701966632205,0.624518467780019,1.98255591825047,0
6,0.1,"multiplicative",-0.0326277554534347,0.585924496556532,0.410824376474379,-0.0241077744209956,0.307441704836524,1.47885550821036,0.164805008321759,2.23528395499186,0
10,0.1,"additive",0.101503440882473,0.493648367692854,0.412919609182734,0.0754692617657453,0.307785260092368,1.48639777349249,0.58146067799975,1.8832533580635,0
10,0.05,"additive",0.00536280983663386,0.494396216664374,0.421629661375262,0.00291131973075422,0.313841672353357,1.51775158158991,0.603775491012485,1.88610637891623,0
15,0.3,"multiplicative",0.117122764270062,0.514694206586061,0.422017039159578,0.0870360864004864,0.31493187588031,1.51914603577252,0.669454504614854,1.96354258692115,0
8,0.3,"additive",0.0114200171261389,0.585472909390289,0.427076111591385,0.0086219863350288,0.31868005737724,1.5373573142668,0.421322061693116,2.23356116382522,0
10,0.05,"multiplicative",-0.00466202939912452,0.510512962751666,0.434217465956868,-0.00455499709431232,0.323302353388056,1.56306423879282,0.601924296317846,1.94759127013911,0
12,0.3,"additive",0.0727358297082366,0.531723093790135,0.435424892524005,0.0538116283544963,0.324689985928629,1.56741064453655,0.675131095301892,2.02850726848394,0
10,0.2,"additive",0.0679553868612151,0.531160454133659,0.439572325977634,0.0506097897918993,0.328164994432884,1.58234027179107,0.561168794496323,2.02636081547856,0
12,0.3,"multiplicative",0.0677108723216819,0.551243832277103,0.44160968475949,0.050094752736163,0.329342953695692,1.58967420675035,0.644290539997249,2.10297828614227,0
8,0.3,"multiplicative",0.0097236367115052,0.607277741571653,0.443037806012014,0.00736884273652518,0.330640957658993,1.59481505306237,0.410412375339203,2.31674592876121,0
6,0.2,"additive",-0.018146743650587,0.59886413649512,0.446980979331718,-0.013247462283407,0.334327198697145,1.60900939964355,0.232533709311473,2.2846482838569,0
10,0.3,"additive",0.083073281068841,0.586776911759267,0.458176847154647,0.0621031819392935,0.342301206995839,1.64931146482581,0.558154340643659,2.23853589280443,0
10,0.2,"multiplicative",0.0760738747939727,0.562201790718853,0.459006815646641,0.0566656179115157,0.34269289817801,1.65229912462964,0.537280255556822,2.14478256097335,0
6,0.3,"additive",-0.00927839562406106,0.636549352080353,0.46805146579786,-0.00659185724592296,0.35006926179589,1.68485739395814,0.239405795381516,2.42841622363948,0
6,0.2,"multiplicative",-0.0245397799743797,0.634788839550835,0.468355981140431,-0.0180474065177892,0.350395992146684,1.68595356599048,0.226109454060807,2.42169992242162,0
10,0.3,"multiplicative",0.0824599378687701,0.620969688777455,0.481714761414904,0.0616667210378832,0.359873558390831,1.73404152503862,0.53718301751897,2.36898028674008,0
6,0.3,"multiplicative",-0.0117980996084555,0.677610034434478,0.493690383111237,-0.00849225259900455,0.369343328476266,1.77715049111763,0.230267566312203,2.58506146545237,0
