"ds","Actual","Fitted","Error","AbsError","SqError","PctError","AbsPctError"
2008-12-01,98.1,97.595384945133,0.504615054867003,0.504615054867003,0.254636353598428,0.514388435134559,0.514388435134559
2009-01-01,98,98.0065617741582,-0.00656177415818604,0.00656177415818604,4.30568801030381e-05,-0.00669568791651637,0.00669568791651637
2009-02-01,98.2,98.289341121695,-0.0893411216949858,0.0893411216949858,0.00798183602571825,-0.0909787389969305,0.0909787389969305
2009-03-01,98,98.1630075513136,-0.163007551313555,0.163007551313555,0.0265714617852413,-0.16633423603424,0.16633423603424
2009-04-01,97.8,97.8664002834595,-0.0664002834594868,0.0664002834594868,0.00440899764350019,-0.0678939503675734,0.0678939503675734
2009-05-01,98,98.0043173607969,-0.00431736079694645,0.00431736079694645,1.863960425101e-05,-0.00440547020096576,0.00440547020096576
2009-06-01,98.1,98.1081810421986,-0.00818104219860061,0.00818104219860061,6.69294514552839e-05,-0.00833949255718716,0.00833949255718716
2009-07-01,98.2,98.2068670912548,-0.0068670912547617,0.0068670912547617,4.71569423012247e-05,-0.00699296461788361,0.00699296461788361
2009-08-01,98.3,98.400535822305,-0.100535822305048,0.100535822305048,0.0101074515665522,-0.102274488611442,0.102274488611442
2009-09-01,98.6,98.4886444510961,0.111355548903902,0.111355548903902,0.0124000582716892,0.112936662174342,0.112936662174342
2009-10-01,98.7,98.6633900987368,0.0366099012631764,0.0366099012631764,0.00134028487049953,0.0370920985442517,0.0370920985442517
2009-11-01,98.9,98.9066535951384,-0.00665359513838837,0.00665359513838837,4.42703282655853e-05,-0.00672759872435629,0.00672759872435629
2009-12-01,99.1,99.0530476591854,0.0469523408146273,0.0469523408146273,0.00220452230797292,0.0473787495606734,0.0473787495606734
2010-01-01,99.4,99.3351986110715,0.0648013889285153,0.0648013889285153,0.0041992200070647,0.0651925441936773,0.0651925441936773
2010-02-01,99.4,99.5384994512499,-0.138499451249871,0.138499451249871,0.0191820979965153,-0.139335464034075,0.139335464034075
2010-03-01,99.4,99.4523771651101,-0.0523771651100589,0.0523771651100589,0.00274336742496637,-0.0526933250604214,0.0526933250604214
2010-04-01,99.4,99.4928547993909,-0.0928547993908495,0.0928547993908495,0.00862201376991491,-0.0934152911376756,0.0934152911376756
2010-05-01,99.6,99.6984400308719,-0.0984400308718847,0.0984400308718847,0.00969043967805761,-0.09883537236133,0.09883537236133
2010-06-01,99.7,99.7870312222585,-0.0870312222584602,0.0870312222584602,0.00757443364780149,-0.0872931015631496,0.0872931015631496
2010-07-01,100,99.9791669259562,0.020833074043793,0.020833074043793,0.000434016974114161,0.020833074043793,0.020833074043793
2010-08-01,100.3,100.21307619251,0.086923807489697,0.086923807489697,0.0075557483085059,0.0866638160415723,0.0866638160415723
2010-09-01,100.4,100.428729946698,-0.0287299466984621,0.0287299466984621,0.000825409837296472,-0.0286154847594244,0.0286154847594244
2010-10-01,100.6,100.811185722839,-0.211185722838735,0.211185722838735,0.044599409530919,-0.209926165843673,0.209926165843673
2010-11-01,100.8,101.284128569842,-0.484128569841829,0.484128569841829,0.234380472137095,-0.480286279604989,0.480286279604989
2010-12-01,101.2,101.628447861526,-0.428447861525584,0.428447861525584,0.183567570045846,-0.423367452100379,0.423367452100379
2011-01-01,101.8,101.928402997802,-0.128402997802084,0.128402997802084,0.016487329844562,-0.126132610807548,0.126132610807548
2011-02-01,102.3,102.203192111101,0.0968078888985247,0.0968078888985247,0.00937176735298909,0.0946313674472382,0.0946313674472382
2011-03-01,102.4,102.133620535247,0.266379464752944,0.266379464752944,0.0709580192420651,0.260136196047797,0.260136196047797
2011-04-01,102.6,102.478222909427,0.121777090573303,0.121777090573303,0.0148296597884985,0.118691121416475,0.118691121416475
2011-05-01,102.9,102.714093653498,0.185906346502378,0.185906346502378,0.0345611696698622,0.180667003403672,0.180667003403672
2011-06-01,103.2,102.753393241058,0.446606758941698,0.446606758941698,0.199457597132408,0.432758487346607,0.432758487346607
2011-07-01,103.4,103.007500729634,0.392499270366272,0.392499270366272,0.154055677238056,0.379593104802971,0.379593104802971
2011-08-01,103.6,103.249112473221,0.350887526779189,0.350887526779189,0.123122056449216,0.338694523918136,0.338694523918136
2011-09-01,103.9,103.4454010782,0.454598921800311,0.454598921800311,0.206660179702006,0.43753505466825,0.43753505466825
2011-10-01,104,103.893080970371,0.10691902962941,0.10691902962941,0.0114316788968946,0.102806759259048,0.102806759259048
